Season,Player,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
2010,James Harden,233,578,0.403,93,248,0.375,0.484,139,0.597
2011,James Harden,298,684,0.436,113,324,0.349,0.518,171,0.574
2012,James Harden,309,629,0.491,114,292,0.39,0.582,153,0.495
2013,James Harden,585,1337,0.438,179,486,0.368,0.504,183,0.313
2014,James Harden,549,1205,0.456,177,483,0.366,0.529,187,0.341
2015,James Harden,647,1470,0.44,208,555,0.375,0.511,179,0.277
2016,James Harden,710,1617,0.439,236,656,0.36,0.512,209,0.294
2017,James Harden,674,1532,0.44,262,756,0.347,0.525,122,0.181
2018,James Harden,651,1448,0.45,265,722,0.367,0.541,103,0.158
2019,James Harden,843,1909,0.442,378,1028,0.368,0.541,110,0.13
2020,James Harden,672,1514,0.444,299,843,0.355,0.543,103,0.153
2021,James Harden,342,734,0.466,121,334,0.362,0.548,67,0.196
2022,James Harden,407,992,0.41,148,448,0.33,0.485,87,0.214
2023,James Harden,371,843,0.44,161,418,0.385,0.536,94,0.253
2024,James Harden,352,822,0.428,186,488,0.381,0.541,112,0.318
2019,Luka Doncic,506,1186,0.427,168,514,0.327,0.497,137,0.271
2020,Luka Doncic,581,1255,0.463,171,541,0.316,0.531,111,0.191
2021,Luka Doncic,647,1351,0.479,192,548,0.35,0.55,88,0.136
2022,Luka Doncic,641,1403,0.457,201,569,0.353,0.529,91,0.142
2023,Luka Doncic,719,1449,0.496,185,541,0.342,0.56,110,0.153
2024,Luka Doncic,804,1652,0.487,284,744,0.382,0.573,177,0.22
2013,Damian Lillard,553,1288,0.429,185,503,0.368,0.501,186,0.336
2014,Damian Lillard,553,1304,0.424,218,554,0.394,0.508,220,0.398
2015,Damian Lillard,590,1360,0.434,196,572,0.343,0.506,195,0.331
2016,Damian Lillard,618,1474,0.419,229,610,0.375,0.497,187,0.303
2017,Damian Lillard,661,1489,0.444,214,578,0.37,0.516,211,0.319
2018,Damian Lillard,621,1414,0.439,227,628,0.361,0.519,170,0.274
2019,Damian Lillard,681,1533,0.444,237,643,0.369,0.522,195,0.286
2020,Damian Lillard,624,1349,0.463,270,674,0.401,0.563,113,0.181
2021,Damian Lillard,602,1334,0.451,275,704,0.391,0.554,166,0.276
2022,Damian Lillard,222,552,0.402,92,284,0.324,0.486,66,0.297
2023,Damian Lillard,556,1202,0.463,244,658,0.371,0.564,175,0.315
2024,Damian Lillard,541,1277,0.424,220,622,0.354,0.51,175,0.323
1997,Michael Jordan,920,1892,0.486,111,297,0.374,0.516,488,0.53
1998,Michael Jordan,881,1893,0.465,30,126,0.238,0.473,448,0.509
2002,Michael Jordan,551,1324,0.416,10,53,0.189,0.42,246,0.446
2003,Michael Jordan,679,1527,0.445,16,55,0.291,0.45,351,0.517
1997,Allen Iverson,625,1504,0.416,155,455,0.341,0.467,217,0.347
1998,Allen Iverson,649,1407,0.461,70,235,0.298,0.486,266,0.41
1999,Allen Iverson,435,1056,0.412,58,199,0.291,0.439,201,0.462
2000,Allen Iverson,729,1733,0.421,89,261,0.341,0.446,373,0.512
2001,Allen Iverson,762,1813,0.42,98,306,0.32,0.447,323,0.424
2002,Allen Iverson,665,1669,0.398,78,268,0.291,0.422,281,0.423
2003,Allen Iverson,804,1940,0.414,84,303,0.277,0.436,343,0.427
2004,Allen Iverson,435,1125,0.387,57,199,0.286,0.412,165,0.379
2005,Allen Iverson,771,1818,0.424,104,338,0.308,0.453,172,0.223
2006,Allen Iverson,815,1822,0.447,72,223,0.323,0.467,196,0.24
2007,Allen Iverson,581,1313,0.442,62,197,0.315,0.466,146,0.251
2008,Allen Iverson,712,1556,0.458,95,275,0.345,0.488,214,0.301
2009,Allen Iverson,348,834,0.417,28,99,0.283,0.434,108,0.31
2010,Allen Iverson,136,316,0.43,9,25,0.36,0.445,62,0.456
2017,Joel Embiid,200,429,0.466,36,98,0.367,0.508,122,0.61
2018,Joel Embiid,510,1053,0.484,66,214,0.308,0.516,256,0.502
2019,Joel Embiid,580,1199,0.484,79,263,0.3,0.517,317,0.547
2020,Joel Embiid,382,801,0.477,57,172,0.331,0.512,199,0.521
2021,Joel Embiid,461,900,0.512,58,155,0.374,0.544,224,0.486
2022,Joel Embiid,666,1334,0.499,93,251,0.371,0.534,360,0.541
2023,Joel Embiid,728,1328,0.548,66,200,0.33,0.573,456,0.626
2024,Joel Embiid,450,851,0.529,54,139,0.388,0.561,256,0.569
2014,Giannis Antetokounmpo,173,418,0.414,41,118,0.347,0.463,111,0.642
2015,Giannis Antetokounmpo,383,780,0.491,7,44,0.159,0.496,201,0.525
2016,Giannis Antetokounmpo,513,1012,0.507,28,110,0.255,0.521,258,0.503
2017,Giannis Antetokounmpo,656,1257,0.522,49,180,0.272,0.541,290,0.442
2018,Giannis Antetokounmpo,742,1402,0.529,43,140,0.307,0.545,339,0.457
2019,Giannis Antetokounmpo,721,1247,0.578,52,203,0.256,0.599,351,0.487
2020,Giannis Antetokounmpo,685,1238,0.553,89,293,0.304,0.589,310,0.453
2021,Giannis Antetokounmpo,626,1100,0.569,67,221,0.303,0.6,259,0.414
2022,Giannis Antetokounmpo,689,1245,0.553,71,242,0.293,0.582,297,0.431
2023,Giannis Antetokounmpo,707,1279,0.553,47,171,0.275,0.571,303,0.429
2024,Giannis Antetokounmpo,837,1369,0.611,34,124,0.274,0.624,426,0.509
2016,Nikola Jokic,306,599,0.511,28,84,0.333,0.534,192,0.627
2017,Nikola Jokic,494,857,0.576,45,139,0.324,0.603,296,0.599
2018,Nikola Jokic,504,1008,0.5,111,280,0.396,0.555,312,0.619
2019,Nikola Jokic,616,1206,0.511,83,270,0.307,0.545,332,0.539
2020,Nikola Jokic,565,1071,0.528,80,255,0.314,0.565,316,0.559
2021,Nikola Jokic,732,1293,0.566,92,237,0.388,0.602,399,0.545
2022,Nikola Jokic,764,1311,0.583,97,288,0.337,0.62,476,0.623
2023,Nikola Jokic,646,1022,0.632,57,149,0.383,0.66,405,0.627
2024,Nikola Jokic,822,1411,0.583,83,231,0.359,0.612,490,0.596
2018,Jayson Tatum,397,835,0.475,105,242,0.434,0.538,262,0.66
2019,Jayson Tatum,466,1036,0.45,116,311,0.373,0.506,273,0.586
2020,Jayson Tatum,552,1226,0.45,189,469,0.403,0.527,260,0.471
2021,Jayson Tatum,605,1318,0.459,187,485,0.386,0.53,247,0.408
2022,Jayson Tatum,708,1564,0.453,230,651,0.353,0.526,335,0.473
2023,Jayson Tatum,727,1559,0.466,240,688,0.349,0.543,406,0.558
2024,Jayson Tatum,672,1426,0.471,229,609,0.376,0.552,269,0.4
2016,Devin Booker,367,867,0.423,99,289,0.343,0.48,200,0.545
2017,Devin Booker,606,1430,0.424,147,405,0.363,0.475,265,0.437
2018,Devin Booker,455,1054,0.432,147,384,0.383,0.501,194,0.426
2019,Devin Booker,586,1255,0.467,135,414,0.326,0.521,211,0.36
2020,Devin Booker,627,1283,0.489,141,398,0.354,0.544,288,0.459
2021,Devin Booker,623,1287,0.484,126,371,0.34,0.533,279,0.448
2022,Devin Booker,662,1421,0.466,183,478,0.383,0.53,307,0.464
2023,Devin Booker,527,1067,0.494,111,316,0.351,0.546,237,0.45
2024,Devin Booker,642,1305,0.492,152,418,0.364,0.55,276,0.43
2009,Russell Westbrook,436,1095,0.398,35,129,0.271,0.414,119,0.273
2010,Russell Westbrook,485,1160,0.418,23,104,0.221,0.428,98,0.202
2011,Russell Westbrook,614,1390,0.442,34,103,0.33,0.454,108,0.176
2012,Russell Westbrook,578,1266,0.457,62,196,0.316,0.481,126,0.218
2013,Russell Westbrook,673,1535,0.438,97,300,0.323,0.47,167,0.248
2014,Russell Westbrook,346,791,0.437,68,214,0.318,0.48,113,0.327
2015,Russell Westbrook,627,1471,0.426,86,288,0.299,0.455,144,0.23
2016,Russell Westbrook,656,1444,0.454,101,341,0.296,0.489,141,0.215
2017,Russell Westbrook,824,1940,0.425,200,583,0.343,0.476,155,0.188
2018,Russell Westbrook,757,1687,0.449,97,326,0.298,0.477,154,0.203
2019,Russell Westbrook,630,1473,0.428,119,411,0.29,0.468,160,0.254
2020,Russell Westbrook,604,1281,0.472,55,213,0.258,0.493,165,0.273
2021,Russell Westbrook,544,1238,0.439,86,273,0.315,0.474,129,0.237
2022,Russell Westbrook,548,1233,0.444,79,265,0.298,0.476,160,0.292
2023,Russell Westbrook,432,991,0.436,89,286,0.311,0.481,138,0.319
2024,Russell Westbrook,301,663,0.454,42,154,0.273,0.486,134,0.445
